day,timestamp,symbol,buyer,seller,pair,price,mid0,spread,spread_bin,hour_cs,agg,notional,microprice_minus_mid,dm_self_k5,dm_ex_k5,dm_hy_k5,dm_self_k20,dm_ex_k20,dm_hy_k20,dm_self_k100,dm_ex_k100,dm_hy_k100,burst,cell_mean_dm_self_k20,residual_cell_dm_self_k20
1,4500,VEV_5400,Mark 01,Mark 22,Mark 01|Mark 22,18.0,18.5,1.0,tight,0,sell_agg,36.0,,-0.5,-2.5,-2.0,-0.5,-4.0,-23.5,-3.5,-20.0,-7.0,True,0.08685446009389672,-0.5868544600938967
1,4500,VEV_5500,Mark 01,Mark 22,Mark 01|Mark 22,8.0,8.5,1.0,tight,0,sell_agg,16.0,,0.0,-2.5,-2.0,-0.5,-4.0,-23.5,-2.0,-20.0,-7.0,True,0.03180212014134275,-0.5318021201413428
1,4500,VEV_6000,Mark 01,Mark 22,Mark 01|Mark 22,0.0,0.5,1.0,tight,0,sell_agg,0.0,,0.0,-2.5,-2.0,0.0,-4.0,-23.5,0.0,-20.0,-7.0,True,0.0,0.0
1,4500,VEV_6500,Mark 01,Mark 22,Mark 01|Mark 22,0.0,0.5,1.0,tight,0,sell_agg,0.0,,0.0,-2.5,-2.0,0.0,-4.0,-23.5,0.0,-20.0,-7.0,True,0.0,0.0
1,5100,HYDROGEL_PACK,Mark 38,Mark 22,Mark 38|Mark 22,9960.0,9956.0,8.0,tight,0,buy_agg,39840.0,,-4.0,1.0,-4.0,-7.0,-3.5,-7.0,1.0,-17.5,1.0,False,1.3125,-8.3125
1,5300,VEV_4000,Mark 38,Mark 14,Mark 38|Mark 14,1264.0,1253.5,21.0,tight,0,buy_agg,2528.0,,0.0,0.0,-11.0,-7.0,-7.0,-13.0,-20.0,-20.0,-1.0,False,0.14432989690721648,-7.144329896907217
1,6100,VELVETFRUIT_EXTRACT,Mark 55,Mark 01,Mark 55|Mark 01,5255.0,5252.5,5.0,tight,0,buy_agg,15765.0,,-2.0,-2.0,-2.0,-5.0,-5.0,-4.0,-21.0,-21.0,6.0,False,-0.6438848920863309,-4.356115107913669
1,6200,HYDROGEL_PACK,Mark 38,Mark 14,Mark 38|Mark 14,9955.0,9947.0,16.0,tight,0,buy_agg,49775.0,,-2.0,-2.5,-2.0,-2.0,-7.0,-2.0,9.0,-20.0,9.0,False,-0.38223552894211577,-1.6177644710578842
1,9400,VELVETFRUIT_EXTRACT,Mark 55,Mark 49,Mark 55|Mark 49,5244.0,5243.5,1.0,tight,0,buy_agg,41952.0,,1.5,1.5,-0.5,0.0,0.0,-5.0,-15.0,-15.0,0.0,False,2.6666666666666665,-2.6666666666666665
1,9600,VEV_5400,Mark 01,Mark 22,Mark 01|Mark 22,16.0,17.0,2.0,wide,0,sell_agg,64.0,,-0.5,-2.5,0.0,-1.0,-5.0,2.0,-3.5,-17.5,1.0,True,-0.16,-0.84
1,9600,VEV_5500,Mark 01,Mark 22,Mark 01|Mark 22,7.0,7.5,1.0,tight,0,sell_agg,28.0,,0.0,-2.5,0.0,0.0,-5.0,2.0,-1.0,-17.5,1.0,True,0.03180212014134275,-0.03180212014134275
1,9600,VEV_6000,Mark 01,Mark 22,Mark 01|Mark 22,0.0,0.5,1.0,tight,0,sell_agg,0.0,,0.0,-2.5,0.0,0.0,-5.0,2.0,0.0,-17.5,1.0,True,0.0,0.0
1,9600,VEV_6500,Mark 01,Mark 22,Mark 01|Mark 22,0.0,0.5,1.0,tight,0,sell_agg,0.0,,0.0,-2.5,0.0,0.0,-5.0,2.0,0.0,-17.5,1.0,True,0.0,0.0
1,10400,VELVETFRUIT_EXTRACT,Mark 67,Mark 49,Mark 67|Mark 49,5240.0,5239.5,1.0,tight,0,buy_agg,62880.0,,4.0,4.0,-2.0,2.0,2.0,8.0,-11.0,-11.0,7.0,False,1.6348314606741574,0.3651685393258426
