sample,corr_kind,x,y,pearson_r,n_pair
all_inner_timestamps,mid,mid_VELVETFRUIT_EXTRACT,mid_HYDROGEL_PACK,-0.18513385771198426,30000
all_inner_timestamps,mid,mid_VELVETFRUIT_EXTRACT,mid_VEV_4000,0.9988736159329408,30000
all_inner_timestamps,mid,mid_VELVETFRUIT_EXTRACT,mid_VEV_4500,0.9990908742692175,30000
all_inner_timestamps,mid,mid_VELVETFRUIT_EXTRACT,mid_VEV_5000,0.9969387476943491,30000
all_inner_timestamps,mid,mid_VELVETFRUIT_EXTRACT,mid_VEV_5100,0.9817574486389159,30000
all_inner_timestamps,mid,mid_VELVETFRUIT_EXTRACT,mid_VEV_5200,0.9286536549535092,30000
all_inner_timestamps,mid,mid_VELVETFRUIT_EXTRACT,mid_VEV_5300,0.8499751165508989,30000
all_inner_timestamps,mid,mid_VELVETFRUIT_EXTRACT,mid_VEV_5400,0.7795791998369629,30000
all_inner_timestamps,mid,mid_VELVETFRUIT_EXTRACT,mid_VEV_5500,0.654073942866824,30000
all_inner_timestamps,mid,mid_VELVETFRUIT_EXTRACT,mid_VEV_6000,,30000
all_inner_timestamps,mid,mid_VELVETFRUIT_EXTRACT,mid_VEV_6500,,30000
all_inner_timestamps,mid,mid_HYDROGEL_PACK,mid_VEV_4000,-0.18517854022818647,30000
all_inner_timestamps,mid,mid_HYDROGEL_PACK,mid_VEV_4500,-0.1850626976624745,30000
all_inner_timestamps,mid,mid_HYDROGEL_PACK,mid_VEV_5000,-0.19619508278888403,30000
all_inner_timestamps,mid,mid_HYDROGEL_PACK,mid_VEV_5100,-0.20420055163346368,30000
all_inner_timestamps,mid,mid_HYDROGEL_PACK,mid_VEV_5200,-0.22693065469137003,30000
all_inner_timestamps,mid,mid_HYDROGEL_PACK,mid_VEV_5300,-0.19283523489300178,30000
all_inner_timestamps,mid,mid_HYDROGEL_PACK,mid_VEV_5400,-0.21610674372112557,30000
all_inner_timestamps,mid,mid_HYDROGEL_PACK,mid_VEV_5500,-0.2361723528226826,30000
all_inner_timestamps,mid,mid_HYDROGEL_PACK,mid_VEV_6000,,30000
all_inner_timestamps,mid,mid_HYDROGEL_PACK,mid_VEV_6500,,30000
all_inner_timestamps,mid,mid_VEV_4000,mid_VEV_4500,0.9997447898649683,30000
all_inner_timestamps,mid,mid_VEV_4000,mid_VEV_5000,0.996843486343388,30000
all_inner_timestamps,mid,mid_VEV_4000,mid_VEV_5100,0.9815691247394136,30000
all_inner_timestamps,mid,mid_VEV_4000,mid_VEV_5200,0.9284225283053931,30000
all_inner_timestamps,mid,mid_VEV_4000,mid_VEV_5300,0.8497045307763396,30000
all_inner_timestamps,mid,mid_VEV_4000,mid_VEV_5400,0.7792717910641118,30000
all_inner_timestamps,mid,mid_VEV_4000,mid_VEV_5500,0.6537580336746373,30000
all_inner_timestamps,mid,mid_VEV_4000,mid_VEV_6000,,30000
all_inner_timestamps,mid,mid_VEV_4000,mid_VEV_6500,,30000
all_inner_timestamps,mid,mid_VEV_4500,mid_VEV_5000,0.9970678355703781,30000
all_inner_timestamps,mid,mid_VEV_4500,mid_VEV_5100,0.9818288752424656,30000
all_inner_timestamps,mid,mid_VEV_4500,mid_VEV_5200,0.9286895087328295,30000
all_inner_timestamps,mid,mid_VEV_4500,mid_VEV_5300,0.8499863176918154,30000
all_inner_timestamps,mid,mid_VEV_4500,mid_VEV_5400,0.7795717738215082,30000
all_inner_timestamps,mid,mid_VEV_4500,mid_VEV_5500,0.6540308001526337,30000
all_inner_timestamps,mid,mid_VEV_4500,mid_VEV_6000,,30000
all_inner_timestamps,mid,mid_VEV_4500,mid_VEV_6500,,30000
all_inner_timestamps,mid,mid_VEV_5000,mid_VEV_5100,0.9927156424743608,30000
all_inner_timestamps,mid,mid_VEV_5000,mid_VEV_5200,0.952235621446027,30000
all_inner_timestamps,mid,mid_VEV_5000,mid_VEV_5300,0.883585262411904,30000
all_inner_timestamps,mid,mid_VEV_5000,mid_VEV_5400,0.8202341754325998,30000
all_inner_timestamps,mid,mid_VEV_5000,mid_VEV_5500,0.7029424285431919,30000
all_inner_timestamps,mid,mid_VEV_5000,mid_VEV_6000,,30000
all_inner_timestamps,mid,mid_VEV_5000,mid_VEV_6500,,30000
all_inner_timestamps,mid,mid_VEV_5100,mid_VEV_5200,0.9807961267688138,30000
all_inner_timestamps,mid,mid_VEV_5100,mid_VEV_5300,0.9305725105283323,30000
all_inner_timestamps,mid,mid_VEV_5100,mid_VEV_5400,0.8794363393542635,30000
all_inner_timestamps,mid,mid_VEV_5100,mid_VEV_5500,0.7772425011332644,30000
all_inner_timestamps,mid,mid_VEV_5100,mid_VEV_6000,,30000
all_inner_timestamps,mid,mid_VEV_5100,mid_VEV_6500,,30000
all_inner_timestamps,mid,mid_VEV_5200,mid_VEV_5300,0.981800817168058,30000
all_inner_timestamps,mid,mid_VEV_5200,mid_VEV_5400,0.9486004311841713,30000
all_inner_timestamps,mid,mid_VEV_5200,mid_VEV_5500,0.8755910066136934,30000
all_inner_timestamps,mid,mid_VEV_5200,mid_VEV_6000,,30000
all_inner_timestamps,mid,mid_VEV_5200,mid_VEV_6500,,30000
all_inner_timestamps,mid,mid_VEV_5300,mid_VEV_5400,0.9802665235972476,30000
all_inner_timestamps,mid,mid_VEV_5300,mid_VEV_5500,0.9371524957593516,30000
all_inner_timestamps,mid,mid_VEV_5300,mid_VEV_6000,,30000
all_inner_timestamps,mid,mid_VEV_5300,mid_VEV_6500,,30000
all_inner_timestamps,mid,mid_VEV_5400,mid_VEV_5500,0.9681050912251259,30000
all_inner_timestamps,mid,mid_VEV_5400,mid_VEV_6000,,30000
all_inner_timestamps,mid,mid_VEV_5400,mid_VEV_6500,,30000
all_inner_timestamps,mid,mid_VEV_5500,mid_VEV_6000,,30000
all_inner_timestamps,mid,mid_VEV_5500,mid_VEV_6500,,30000
all_inner_timestamps,mid,mid_VEV_6000,mid_VEV_6500,,30000
all_inner_timestamps,spread,sp_VELVETFRUIT_EXTRACT,sp_HYDROGEL_PACK,0.007574293998921326,30000
all_inner_timestamps,spread,sp_VELVETFRUIT_EXTRACT,sp_VEV_4000,-0.0018712308024094778,30000
all_inner_timestamps,spread,sp_VELVETFRUIT_EXTRACT,sp_VEV_4500,0.004473969035649156,30000
all_inner_timestamps,spread,sp_VELVETFRUIT_EXTRACT,sp_VEV_5000,0.01811908049074429,30000
all_inner_timestamps,spread,sp_VELVETFRUIT_EXTRACT,sp_VEV_5100,0.0027116191677425258,30000
all_inner_timestamps,spread,sp_VELVETFRUIT_EXTRACT,sp_VEV_5200,0.008579133648993908,30000
all_inner_timestamps,spread,sp_VELVETFRUIT_EXTRACT,sp_VEV_5300,0.005380991786361981,30000
all_inner_timestamps,spread,sp_VELVETFRUIT_EXTRACT,sp_VEV_5400,0.011768623183558017,30000
all_inner_timestamps,spread,sp_VELVETFRUIT_EXTRACT,sp_VEV_5500,0.0015497454195735263,30000
all_inner_timestamps,spread,sp_VELVETFRUIT_EXTRACT,sp_VEV_6000,,30000
all_inner_timestamps,spread,sp_VELVETFRUIT_EXTRACT,sp_VEV_6500,,30000
all_inner_timestamps,spread,sp_HYDROGEL_PACK,sp_VEV_4000,0.00034380235136730676,30000
all_inner_timestamps,spread,sp_HYDROGEL_PACK,sp_VEV_4500,-0.0006055905478182826,30000
all_inner_timestamps,spread,sp_HYDROGEL_PACK,sp_VEV_5000,-0.0017688409060707872,30000
all_inner_timestamps,spread,sp_HYDROGEL_PACK,sp_VEV_5100,-0.00824789589943075,30000
all_inner_timestamps,spread,sp_HYDROGEL_PACK,sp_VEV_5200,-0.00020696068384002729,30000
all_inner_timestamps,spread,sp_HYDROGEL_PACK,sp_VEV_5300,-0.002798100104685977,30000
all_inner_timestamps,spread,sp_HYDROGEL_PACK,sp_VEV_5400,-0.003181565503987854,30000
all_inner_timestamps,spread,sp_HYDROGEL_PACK,sp_VEV_5500,-0.0014251698271456035,30000
all_inner_timestamps,spread,sp_HYDROGEL_PACK,sp_VEV_6000,,30000
all_inner_timestamps,spread,sp_HYDROGEL_PACK,sp_VEV_6500,,30000
all_inner_timestamps,spread,sp_VEV_4000,sp_VEV_4500,0.8761591937897949,30000
all_inner_timestamps,spread,sp_VEV_4000,sp_VEV_5000,0.6902536833277565,30000
all_inner_timestamps,spread,sp_VEV_4000,sp_VEV_5100,0.5683316559194799,30000
all_inner_timestamps,spread,sp_VEV_4000,sp_VEV_5200,0.4298103792221575,30000
all_inner_timestamps,spread,sp_VEV_4000,sp_VEV_5300,0.23851354194209476,30000
all_inner_timestamps,spread,sp_VEV_4000,sp_VEV_5400,0.07848413617923354,30000
all_inner_timestamps,spread,sp_VEV_4000,sp_VEV_5500,0.05068741619695218,30000
all_inner_timestamps,spread,sp_VEV_4000,sp_VEV_6000,,30000
all_inner_timestamps,spread,sp_VEV_4000,sp_VEV_6500,,30000
all_inner_timestamps,spread,sp_VEV_4500,sp_VEV_5000,0.7153032112673463,30000
all_inner_timestamps,spread,sp_VEV_4500,sp_VEV_5100,0.6014954192557153,30000
all_inner_timestamps,spread,sp_VEV_4500,sp_VEV_5200,0.46035286321731994,30000
all_inner_timestamps,spread,sp_VEV_4500,sp_VEV_5300,0.2683927867062231,30000
all_inner_timestamps,spread,sp_VEV_4500,sp_VEV_5400,0.09574461465476025,30000
all_inner_timestamps,spread,sp_VEV_4500,sp_VEV_5500,0.058743182157515283,30000
all_inner_timestamps,spread,sp_VEV_4500,sp_VEV_6000,,30000
all_inner_timestamps,spread,sp_VEV_4500,sp_VEV_6500,,30000
all_inner_timestamps,spread,sp_VEV_5000,sp_VEV_5100,0.5722212123313506,30000
all_inner_timestamps,spread,sp_VEV_5000,sp_VEV_5200,0.48250113889633567,30000
all_inner_timestamps,spread,sp_VEV_5000,sp_VEV_5300,0.3257062801648004,30000
all_inner_timestamps,spread,sp_VEV_5000,sp_VEV_5400,0.12376591862095704,30000
all_inner_timestamps,spread,sp_VEV_5000,sp_VEV_5500,0.08515756345607484,30000
all_inner_timestamps,spread,sp_VEV_5000,sp_VEV_6000,,30000
all_inner_timestamps,spread,sp_VEV_5000,sp_VEV_6500,,30000
all_inner_timestamps,spread,sp_VEV_5100,sp_VEV_5200,0.45099712718928997,30000
all_inner_timestamps,spread,sp_VEV_5100,sp_VEV_5300,0.32145841051958385,30000
all_inner_timestamps,spread,sp_VEV_5100,sp_VEV_5400,0.1385480278665851,30000
all_inner_timestamps,spread,sp_VEV_5100,sp_VEV_5500,0.08771812268891586,30000
all_inner_timestamps,spread,sp_VEV_5100,sp_VEV_6000,,30000
all_inner_timestamps,spread,sp_VEV_5100,sp_VEV_6500,,30000
all_inner_timestamps,spread,sp_VEV_5200,sp_VEV_5300,0.30759572531181606,30000
all_inner_timestamps,spread,sp_VEV_5200,sp_VEV_5400,0.1293797804182257,30000
all_inner_timestamps,spread,sp_VEV_5200,sp_VEV_5500,0.09205692181394576,30000
