mark,role,traded_symbol,spread_regime,horizon_K,fwd_target,n,mean_fwd,median_fwd,frac_pos,t_vs_zero,ci95_low,ci95_high
Mark 22,seller_agg,VELVETFRUIT_EXTRACT,all,5,same_symbol,11,-2.3636363636363638,-2.5,0.18181818181818182,-2.6647402004950607,-3.9545454545454546,-0.6363636363636364
Mark 22,seller_agg,VELVETFRUIT_EXTRACT,all,5,VELVETFRUIT_EXTRACT,11,-2.3636363636363638,-2.5,0.18181818181818182,-2.6647402004950607,-3.909090909090909,-0.6818181818181818
Mark 22,seller_agg,VELVETFRUIT_EXTRACT,all,5,HYDROGEL_PACK,11,1.4090909090909092,0.0,0.36363636363636365,1.0654242114272132,-0.7738636363636363,4.045454545454546
Mark 22,seller_agg,VELVETFRUIT_EXTRACT,all,20,same_symbol,11,-3.090909090909091,-6.0,0.45454545454545453,-1.9341924215611523,-6.0,0.045454545454545456
Mark 22,seller_agg,VELVETFRUIT_EXTRACT,all,20,VELVETFRUIT_EXTRACT,11,-3.090909090909091,-6.0,0.45454545454545453,-1.9341924215611523,-5.909090909090909,-0.17954545454545662
Mark 22,seller_agg,VELVETFRUIT_EXTRACT,all,20,HYDROGEL_PACK,11,3.9545454545454546,3.0,0.8181818181818182,2.7514567237775274,1.3625,6.545454545454546
Mark 22,seller_agg,VELVETFRUIT_EXTRACT,all,100,same_symbol,11,-3.272727272727273,-5.0,0.2727272727272727,-1.9811345243658143,-6.1375,0.2727272727272727
Mark 22,seller_agg,VELVETFRUIT_EXTRACT,all,100,VELVETFRUIT_EXTRACT,11,-3.272727272727273,-5.0,0.2727272727272727,-1.9811345243658143,-6.2272727272727275,-0.22500000000000206
Mark 22,seller_agg,VELVETFRUIT_EXTRACT,all,100,HYDROGEL_PACK,11,4.909090909090909,1.0,0.5454545454545454,1.0931420460465102,-3.411363636363636,13.455681818181818
Mark 22,seller_agg,VELVETFRUIT_EXTRACT,tight_spread,5,same_symbol,11,-2.3636363636363638,-2.5,0.18181818181818182,-2.6647402004950607,-3.819318181818182,-0.6818181818181818
Mark 22,seller_agg,VELVETFRUIT_EXTRACT,tight_spread,5,VELVETFRUIT_EXTRACT,11,-2.3636363636363638,-2.5,0.18181818181818182,-2.6647402004950607,-3.909090909090909,-0.7250000000000021
Mark 22,seller_agg,VELVETFRUIT_EXTRACT,tight_spread,5,HYDROGEL_PACK,11,1.4090909090909092,0.0,0.36363636363636365,1.0654242114272132,-0.8181818181818182,3.909090909090909
Mark 22,seller_agg,VELVETFRUIT_EXTRACT,tight_spread,20,same_symbol,11,-3.090909090909091,-6.0,0.45454545454545453,-1.9341924215611523,-5.955681818181818,-0.3181818181818182
Mark 22,seller_agg,VELVETFRUIT_EXTRACT,tight_spread,20,VELVETFRUIT_EXTRACT,11,-3.090909090909091,-6.0,0.45454545454545453,-1.9341924215611523,-6.2727272727272725,-0.08977272727272831
