day,mark,role,traded_symbol,spread_regime,horizon_K,fwd_target,n,mean_fwd,median_fwd,frac_pos,t_vs_zero,ci95_low,ci95_high
3,Mark 22,seller_agg,VELVETFRUIT_EXTRACT,all,5,same_symbol,5,-3.7,-3.5,0.0,-3.1963131746510327,,
3,Mark 22,seller_agg,VELVETFRUIT_EXTRACT,all,5,VELVETFRUIT_EXTRACT,5,-3.7,-3.5,0.0,-3.1963131746510327,,
3,Mark 22,seller_agg,VELVETFRUIT_EXTRACT,all,5,HYDROGEL_PACK,5,-1.2,-2.0,0.0,-2.449489742783178,,
3,Mark 22,seller_agg,VELVETFRUIT_EXTRACT,all,20,same_symbol,5,-5.7,-6.5,0.2,-2.6899963156431497,,
3,Mark 22,seller_agg,VELVETFRUIT_EXTRACT,all,20,VELVETFRUIT_EXTRACT,5,-5.7,-6.5,0.2,-2.6899963156431497,,
3,Mark 22,seller_agg,VELVETFRUIT_EXTRACT,all,20,HYDROGEL_PACK,5,2.2,2.0,0.8,1.6218615177038689,,
3,Mark 22,seller_agg,VELVETFRUIT_EXTRACT,all,100,same_symbol,5,-5.6,-5.5,0.2,-2.4593121005099294,,
3,Mark 22,seller_agg,VELVETFRUIT_EXTRACT,all,100,VELVETFRUIT_EXTRACT,5,-5.6,-5.5,0.2,-2.4593121005099294,,
3,Mark 22,seller_agg,VELVETFRUIT_EXTRACT,all,100,HYDROGEL_PACK,5,5.2,1.0,0.6,0.7494631786061371,,
3,Mark 22,seller_agg,VELVETFRUIT_EXTRACT,tight_spread,5,same_symbol,5,-3.7,-3.5,0.0,-3.1963131746510327,,
3,Mark 22,seller_agg,VELVETFRUIT_EXTRACT,tight_spread,5,VELVETFRUIT_EXTRACT,5,-3.7,-3.5,0.0,-3.1963131746510327,,
3,Mark 22,seller_agg,VELVETFRUIT_EXTRACT,tight_spread,5,HYDROGEL_PACK,5,-1.2,-2.0,0.0,-2.449489742783178,,
3,Mark 22,seller_agg,VELVETFRUIT_EXTRACT,tight_spread,20,same_symbol,5,-5.7,-6.5,0.2,-2.6899963156431497,,
3,Mark 22,seller_agg,VELVETFRUIT_EXTRACT,tight_spread,20,VELVETFRUIT_EXTRACT,5,-5.7,-6.5,0.2,-2.6899963156431497,,
3,Mark 22,seller_agg,VELVETFRUIT_EXTRACT,tight_spread,20,HYDROGEL_PACK,5,2.2,2.0,0.8,1.6218615177038689,,
3,Mark 22,seller_agg,VELVETFRUIT_EXTRACT,tight_spread,100,same_symbol,5,-5.6,-5.5,0.2,-2.4593121005099294,,
3,Mark 22,seller_agg,VELVETFRUIT_EXTRACT,tight_spread,100,VELVETFRUIT_EXTRACT,5,-5.6,-5.5,0.2,-2.4593121005099294,,
3,Mark 22,seller_agg,VELVETFRUIT_EXTRACT,tight_spread,100,HYDROGEL_PACK,5,5.2,1.0,0.6,0.7494631786061371,,
1,Mark 22,seller_agg,VEV_5200,all,5,same_symbol,6,-0.5,-0.5,0.3333333333333333,-1.118033988749895,,
2,Mark 22,seller_agg,VEV_5200,all,5,same_symbol,8,0.0,0.0,0.375,0.0,,
3,Mark 22,seller_agg,VEV_5200,all,5,same_symbol,30,-0.23333333333333334,-0.5,0.3,-1.165550772899448,-0.6166666666666667,0.15
1,Mark 22,seller_agg,VEV_5200,all,5,VELVETFRUIT_EXTRACT,6,-1.0,-0.75,0.3333333333333333,-1.1547005383792517,,
2,Mark 22,seller_agg,VEV_5200,all,5,VELVETFRUIT_EXTRACT,8,0.125,0.0,0.375,0.4751909633114915,,
3,Mark 22,seller_agg,VEV_5200,all,5,VELVETFRUIT_EXTRACT,30,-0.13333333333333333,0.0,0.43333333333333335,-0.36286162439186054,-0.85,0.5341666666666659
1,Mark 22,seller_agg,VEV_5200,all,5,HYDROGEL_PACK,6,-0.6666666666666666,1.0,0.5,-0.3287979746107145,,
2,Mark 22,seller_agg,VEV_5200,all,5,HYDROGEL_PACK,8,-0.625,-0.5,0.375,-0.4072797285050962,,
3,Mark 22,seller_agg,VEV_5200,all,5,HYDROGEL_PACK,30,-1.1666666666666667,-1.0,0.4,-1.5124510071197481,-2.58375,0.3345833333333322
1,Mark 22,seller_agg,VEV_5200,all,20,same_symbol,6,-1.5833333333333333,-2.0,0.3333333333333333,-1.0995340911870437,,
2,Mark 22,seller_agg,VEV_5200,all,20,same_symbol,8,2.625,2.75,0.75,2.781517949836592,,
3,Mark 22,seller_agg,VEV_5200,all,20,same_symbol,30,-0.05,-0.5,0.43333333333333335,-0.08483994245162381,-1.1333333333333333,1.1333333333333333
1,Mark 22,seller_agg,VEV_5200,all,20,VELVETFRUIT_EXTRACT,6,-2.5833333333333335,-3.0,0.3333333333333333,-1.036911088308472,,
2,Mark 22,seller_agg,VEV_5200,all,20,VELVETFRUIT_EXTRACT,8,4.6875,5.25,0.75,2.7998108636100496,,
3,Mark 22,seller_agg,VEV_5200,all,20,VELVETFRUIT_EXTRACT,30,0.3333333333333333,0.0,0.43333333333333335,0.3357214621030288,-1.6833333333333333,2.1837499999999994
1,Mark 22,seller_agg,VEV_5200,all,20,HYDROGEL_PACK,6,0.16666666666666666,1.5,0.6666666666666666,0.036696321121340754,,
2,Mark 22,seller_agg,VEV_5200,all,20,HYDROGEL_PACK,8,5.0,4.5,0.75,2.294157338705618,,
3,Mark 22,seller_agg,VEV_5200,all,20,HYDROGEL_PACK,30,-1.25,-1.0,0.4,-0.7843951894903584,-4.317083333333333,1.867083333333333
1,Mark 22,seller_agg,VEV_5200,all,100,same_symbol,6,-4.083333333333333,-7.25,0.3333333333333333,-1.2116692413754222,,
2,Mark 22,seller_agg,VEV_5200,all,100,same_symbol,8,2.8125,2.0,0.625,1.490215621151743,,
3,Mark 22,seller_agg,VEV_5200,all,100,same_symbol,30,0.9833333333333333,0.75,0.6,0.9311516708871589,-1.15,2.8833333333333333
1,Mark 22,seller_agg,VEV_5200,all,100,VELVETFRUIT_EXTRACT,6,-7.75,-13.5,0.3333333333333333,-1.3980616120852616,,
2,Mark 22,seller_agg,VEV_5200,all,100,VELVETFRUIT_EXTRACT,8,4.875,3.5,0.625,1.702099543840741,,
3,Mark 22,seller_agg,VEV_5200,all,100,VELVETFRUIT_EXTRACT,30,1.8166666666666667,2.0,0.6,1.0722710669334272,-1.2674999999999998,5.016666666666667
1,Mark 22,seller_agg,VEV_5200,all,100,HYDROGEL_PACK,6,-8.333333333333334,-4.5,0.3333333333333333,-1.2851814393010392,,
2,Mark 22,seller_agg,VEV_5200,all,100,HYDROGEL_PACK,8,4.625,1.5,0.625,0.9310464973783082,,
3,Mark 22,seller_agg,VEV_5200,all,100,HYDROGEL_PACK,30,-5.766666666666667,-5.75,0.36666666666666664,-1.341019971026983,-13.552916666666667,2.1549999999999954
1,Mark 22,seller_agg,VEV_5200,tight_spread,5,same_symbol,6,-0.5,-0.5,0.3333333333333333,-1.118033988749895,,
2,Mark 22,seller_agg,VEV_5200,tight_spread,5,same_symbol,8,0.0,0.0,0.375,0.0,,
3,Mark 22,seller_agg,VEV_5200,tight_spread,5,same_symbol,30,-0.23333333333333334,-0.5,0.3,-1.165550772899448,-0.6166666666666667,0.16666666666666666
1,Mark 22,seller_agg,VEV_5200,tight_spread,5,VELVETFRUIT_EXTRACT,6,-1.0,-0.75,0.3333333333333333,-1.1547005383792517,,
2,Mark 22,seller_agg,VEV_5200,tight_spread,5,VELVETFRUIT_EXTRACT,8,0.125,0.0,0.375,0.4751909633114915,,
3,Mark 22,seller_agg,VEV_5200,tight_spread,5,VELVETFRUIT_EXTRACT,30,-0.13333333333333333,0.0,0.43333333333333335,-0.36286162439186054,-0.9333333333333333,0.6004166666666663
1,Mark 22,seller_agg,VEV_5200,tight_spread,5,HYDROGEL_PACK,6,-0.6666666666666666,1.0,0.5,-0.3287979746107145,,
2,Mark 22,seller_agg,VEV_5200,tight_spread,5,HYDROGEL_PACK,8,-0.625,-0.5,0.375,-0.4072797285050962,,
3,Mark 22,seller_agg,VEV_5200,tight_spread,5,HYDROGEL_PACK,30,-1.1666666666666667,-1.0,0.4,-1.5124510071197481,-2.7,0.23333333333333334
1,Mark 22,seller_agg,VEV_5200,tight_spread,20,same_symbol,6,-1.5833333333333333,-2.0,0.3333333333333333,-1.0995340911870437,,
2,Mark 22,seller_agg,VEV_5200,tight_spread,20,same_symbol,8,2.625,2.75,0.75,2.781517949836592,,
3,Mark 22,seller_agg,VEV_5200,tight_spread,20,same_symbol,30,-0.05,-0.5,0.43333333333333335,-0.08483994245162381,-1.2170833333333333,1.0837499999999995
1,Mark 22,seller_agg,VEV_5200,tight_spread,20,VELVETFRUIT_EXTRACT,6,-2.5833333333333335,-3.0,0.3333333333333333,-1.036911088308472,,
2,Mark 22,seller_agg,VEV_5200,tight_spread,20,VELVETFRUIT_EXTRACT,8,4.6875,5.25,0.75,2.7998108636100496,,
3,Mark 22,seller_agg,VEV_5200,tight_spread,20,VELVETFRUIT_EXTRACT,30,0.3333333333333333,0.0,0.43333333333333335,0.3357214621030288,-1.65,2.2174999999999994
1,Mark 22,seller_agg,VEV_5200,tight_spread,20,HYDROGEL_PACK,6,0.16666666666666666,1.5,0.6666666666666666,0.036696321121340754,,
2,Mark 22,seller_agg,VEV_5200,tight_spread,20,HYDROGEL_PACK,8,5.0,4.5,0.75,2.294157338705618,,
3,Mark 22,seller_agg,VEV_5200,tight_spread,20,HYDROGEL_PACK,30,-1.25,-1.0,0.4,-0.7843951894903584,-4.334583333333333,1.7679166666666655
1,Mark 22,seller_agg,VEV_5200,tight_spread,100,same_symbol,6,-4.083333333333333,-7.25,0.3333333333333333,-1.2116692413754222,,
2,Mark 22,seller_agg,VEV_5200,tight_spread,100,same_symbol,8,2.8125,2.0,0.625,1.490215621151743,,
3,Mark 22,seller_agg,VEV_5200,tight_spread,100,same_symbol,30,0.9833333333333333,0.75,0.6,0.9311516708871589,-0.9841666666666665,2.8833333333333333
1,Mark 22,seller_agg,VEV_5200,tight_spread,100,VELVETFRUIT_EXTRACT,6,-7.75,-13.5,0.3333333333333333,-1.3980616120852616,,
2,Mark 22,seller_agg,VEV_5200,tight_spread,100,VELVETFRUIT_EXTRACT,8,4.875,3.5,0.625,1.702099543840741,,
3,Mark 22,seller_agg,VEV_5200,tight_spread,100,VELVETFRUIT_EXTRACT,30,1.8166666666666667,2.0,0.6,1.0722710669334272,-1.285,4.916666666666667
1,Mark 22,seller_agg,VEV_5200,tight_spread,100,HYDROGEL_PACK,6,-8.333333333333334,-4.5,0.3333333333333333,-1.2851814393010392,,
2,Mark 22,seller_agg,VEV_5200,tight_spread,100,HYDROGEL_PACK,8,4.625,1.5,0.625,0.9310464973783082,,
3,Mark 22,seller_agg,VEV_5200,tight_spread,100,HYDROGEL_PACK,30,-5.766666666666667,-5.75,0.36666666666666664,-1.341019971026983,-13.384583333333333,2.5437499999999904
1,Mark 22,seller_agg,VEV_5200,wide_spread,5,same_symbol,6,-0.5,-0.5,0.3333333333333333,-1.118033988749895,,
2,Mark 22,seller_agg,VEV_5200,wide_spread,5,same_symbol,8,0.0,0.0,0.375,0.0,,
3,Mark 22,seller_agg,VEV_5200,wide_spread,5,same_symbol,30,-0.23333333333333334,-0.5,0.3,-1.165550772899448,-0.6,0.16708333333333295
1,Mark 22,seller_agg,VEV_5200,wide_spread,5,VELVETFRUIT_EXTRACT,6,-1.0,-0.75,0.3333333333333333,-1.1547005383792517,,
2,Mark 22,seller_agg,VEV_5200,wide_spread,5,VELVETFRUIT_EXTRACT,8,0.125,0.0,0.375,0.4751909633114915,,
3,Mark 22,seller_agg,VEV_5200,wide_spread,5,VELVETFRUIT_EXTRACT,30,-0.13333333333333333,0.0,0.43333333333333335,-0.36286162439186054,-0.8670833333333333,0.6
1,Mark 22,seller_agg,VEV_5200,wide_spread,5,HYDROGEL_PACK,6,-0.6666666666666666,1.0,0.5,-0.3287979746107145,,
2,Mark 22,seller_agg,VEV_5200,wide_spread,5,HYDROGEL_PACK,8,-0.625,-0.5,0.375,-0.4072797285050962,,
3,Mark 22,seller_agg,VEV_5200,wide_spread,5,HYDROGEL_PACK,30,-1.1666666666666667,-1.0,0.4,-1.5124510071197481,-2.68375,0.16708333333333295
1,Mark 22,seller_agg,VEV_5200,wide_spread,20,same_symbol,6,-1.5833333333333333,-2.0,0.3333333333333333,-1.0995340911870437,,
2,Mark 22,seller_agg,VEV_5200,wide_spread,20,same_symbol,8,2.625,2.75,0.75,2.781517949836592,,
3,Mark 22,seller_agg,VEV_5200,wide_spread,20,same_symbol,30,-0.05,-0.5,0.43333333333333335,-0.08483994245162381,-1.1341666666666665,1.1674999999999993
1,Mark 22,seller_agg,VEV_5200,wide_spread,20,VELVETFRUIT_EXTRACT,6,-2.5833333333333335,-3.0,0.3333333333333333,-1.036911088308472,,
2,Mark 22,seller_agg,VEV_5200,wide_spread,20,VELVETFRUIT_EXTRACT,8,4.6875,5.25,0.75,2.7998108636100496,,
3,Mark 22,seller_agg,VEV_5200,wide_spread,20,VELVETFRUIT_EXTRACT,30,0.3333333333333333,0.0,0.43333333333333335,0.3357214621030288,-1.4504166666666667,2.1666666666666665
1,Mark 22,seller_agg,VEV_5200,wide_spread,20,HYDROGEL_PACK,6,0.16666666666666666,1.5,0.6666666666666666,0.036696321121340754,,
2,Mark 22,seller_agg,VEV_5200,wide_spread,20,HYDROGEL_PACK,8,5.0,4.5,0.75,2.294157338705618,,
3,Mark 22,seller_agg,VEV_5200,wide_spread,20,HYDROGEL_PACK,30,-1.25,-1.0,0.4,-0.7843951894903584,-4.168333333333334,1.8174999999999992
1,Mark 22,seller_agg,VEV_5200,wide_spread,100,same_symbol,6,-4.083333333333333,-7.25,0.3333333333333333,-1.2116692413754222,,
2,Mark 22,seller_agg,VEV_5200,wide_spread,100,same_symbol,8,2.8125,2.0,0.625,1.490215621151743,,
3,Mark 22,seller_agg,VEV_5200,wide_spread,100,same_symbol,30,0.9833333333333333,0.75,0.6,0.9311516708871589,-0.93375,2.884166666666666
1,Mark 22,seller_agg,VEV_5200,wide_spread,100,VELVETFRUIT_EXTRACT,6,-7.75,-13.5,0.3333333333333333,-1.3980616120852616,,
2,Mark 22,seller_agg,VEV_5200,wide_spread,100,VELVETFRUIT_EXTRACT,8,4.875,3.5,0.625,1.702099543840741,,
3,Mark 22,seller_agg,VEV_5200,wide_spread,100,VELVETFRUIT_EXTRACT,30,1.8166666666666667,2.0,0.6,1.0722710669334272,-1.3854166666666665,5.1012499999999985
1,Mark 22,seller_agg,VEV_5200,wide_spread,100,HYDROGEL_PACK,6,-8.333333333333334,-4.5,0.3333333333333333,-1.2851814393010392,,
2,Mark 22,seller_agg,VEV_5200,wide_spread,100,HYDROGEL_PACK,8,4.625,1.5,0.625,0.9310464973783082,,
3,Mark 22,seller_agg,VEV_5200,wide_spread,100,HYDROGEL_PACK,30,-5.766666666666667,-5.75,0.36666666666666664,-1.341019971026983,-14.317916666666667,2.602499999999998
1,Mark 22,seller_agg,VEV_5300,all,5,same_symbol,38,-0.2631578947368421,0.0,0.15789473684210525,-2.110086943076174,-0.4868421052631579,-0.05230263157894766
2,Mark 22,seller_agg,VEV_5300,all,5,same_symbol,44,-0.3068181818181818,0.0,0.18181818181818182,-2.337113906380199,-0.5681818181818182,-0.056818181818181816
3,Mark 22,seller_agg,VEV_5300,all,5,same_symbol,78,-0.11538461538461539,0.0,0.3076923076923077,-1.4145538038221113,-0.28205128205128205,0.038461538461538464
1,Mark 22,seller_agg,VEV_5300,all,5,VELVETFRUIT_EXTRACT,38,-0.13157894736842105,0.0,0.39473684210526316,-0.4092449648385423,-0.75,0.5
2,Mark 22,seller_agg,VEV_5300,all,5,VELVETFRUIT_EXTRACT,44,-0.22727272727272727,0.0,0.4090909090909091,-0.7224758489181272,-0.875,0.3298295454545452
3,Mark 22,seller_agg,VEV_5300,all,5,VELVETFRUIT_EXTRACT,78,-0.08333333333333333,0.0,0.46153846153846156,-0.3288379308867649,-0.6160256410256411,0.4423076923076923
1,Mark 22,seller_agg,VEV_5300,all,5,HYDROGEL_PACK,38,-0.3026315789473684,0.0,0.4473684210526316,-0.47394440006457633,-1.500657894736842,0.8694078947368412
2,Mark 22,seller_agg,VEV_5300,all,5,HYDROGEL_PACK,44,-1.2045454545454546,-2.0,0.3409090909090909,-1.599752878345824,-2.625852272727273,0.25028409090909065
3,Mark 22,seller_agg,VEV_5300,all,5,HYDROGEL_PACK,78,-0.1346153846153846,0.0,0.44871794871794873,-0.2684864636831825,-1.1794871794871795,0.7822115384615383
1,Mark 22,seller_agg,VEV_5300,all,20,same_symbol,38,-0.5526315789473685,-1.0,0.34210526315789475,-2.0232591335082706,-1.0789473684210527,-0.06578947368421052
2,Mark 22,seller_agg,VEV_5300,all,20,same_symbol,44,-0.06818181818181818,0.0,0.36363636363636365,-0.2823906654717904,-0.5116477272727272,0.3639204545454543
3,Mark 22,seller_agg,VEV_5300,all,20,same_symbol,78,0.01282051282051282,-0.5,0.41025641025641024,0.06931156351961999,-0.33974358974358976,0.38461538461538464
1,Mark 22,seller_agg,VEV_5300,all,20,VELVETFRUIT_EXTRACT,38,-1.1578947368421053,-1.75,0.3684210526315789,-1.596530415966605,-2.500328947368421,0.19835526315789384
2,Mark 22,seller_agg,VEV_5300,all,20,VELVETFRUIT_EXTRACT,44,0.4090909090909091,0.0,0.4772727272727273,0.632237744309576,-0.81875,1.6590909090909092
